strength	weakness	True
hungary	poland	False
remediate	break	False
improperly	intimately	False
apart	scarce	False
adequately	knockout	False
miss	gentleman	True
change	stable	True
persuasive	dissuasive	True
grassless	grassi	False
wildness	tameness	True
fall	spring	True
explicit	implicit	True
international	national	True
spiritless	spirited	True
water	desert	True
ironic	wet	False
diaphragm	start	False
rule	serve	True
reward	fee	True
full	small	True
funny	crazy	False
cling	unstuck	False
sign	industrial design	False
relaxation	stress	True
impossible	achievable	True
slightly	decent	False
torpid	active	True
finale	start	True
right	dotty	False
check	unspecified	False
help	hurt	True
cumbersome	slow	False
good	okey	False
lemon	orange	True
practicable	unworkable	True
dull	sharp	True
obtainable	unimaginable	False
sight	specific information	False
accrue	rise	False
desirable	worst possible	False
crazy	risible	False
severely	smooth	False
animal	bug	True
easily	comfortably	False
mightily	unthinkable	False
restrictiveness	permissiveness	True
inaccurate	rightful	True
pathetic	rich	False
clear	illegible	True
unworkable	inconceivable	False
dandy	iffy	False
school	work	True
waste	recycle	True
backbreaking	lojack	False
pregnant	insignificant	False
unrealistic	actual	False
rest	tire	True
harden	soften	True
fruitlessly	profitably	True
reach	pull	True
drive	stop	True
confidence	fear	True
fragmental	complete	True
off	rigid	False
science	false	True
upright	well	False
respectable	spiteful	True
upset	mightily	False
low	long	False
bazaar	bad	False
smart	dull	True
unquiet	easy	False
join	split	True
ply	no	False
unimportant	requirement	True
play	grind	True
taboo	gonna	False
promiscuous	slim	False
best	simply	False
awesome	right	False
iniquity	fair	True
acceptable	ineligible	True
more	immediately	False
fine	admittedly	False
adjust	unfair	False
fancy	simple	True
livelihood	dead	True
applicable	pointless	False
early	later	True
abuse	whisper	False
pregnant	important	False
positive	uncertain	True
right	screwball	False
compatibility	incompatibility	True
fly	ride	True
excessively	scoot	False
animal	plant	True
restrain	break	False
pain	nice	True
benefit	punishment	True
rue	joy	True
stretch	relax	True
quiet	talk	True
cozy	formal	False
capital	small	True
picky	promiscuous	False
gres	large measure	False
punk	yearn	False
dim-witted	complex	False
right	left	True
blemish	good	False
right	comfortably	False
inebriation	soberness	True
fake	decent	False
paseo	ride	False
finland	italy	False
reduce	expand	True
freestanding	joint	False
place	off	False
back	main	True
voiceless	easily	False
great	small	True
flash	dark	True
inappropriate	essential	False
item	skilful	False
offspring	parent	True
god	mortal	True
picture	movie	True
thoroughly	hurt	False
genuine	incorrect	True
straightaway	farther	False
nah	barely	False
decent	sufficient	False
chant	toneless	False
contrary	obverse	False
wash	dry	True
compensate	flawed	False
fashion	taste	True
cotton	wool	True
rectify	unjustified	False
extortionate	acceptable	False
fat	thin	True
cheap	grueling	False
break	make	True
armored	unarmored	True
rotten	redress	False
simply	anymore	False
gluttonous	abstemious	True
unspoilt	nice	False
rude	easily	False
allochthonous	autochthonous	True
unruffled	hard	False
slice	whole	True
disease	healthy	True
tonic	atonal	True
no	come	False
conservatively	incautiously	False
kitten	dog	True
applicable	retch	False
considerably	badly	False
safe	poor	False
weird	estimable	False
multi-valued	bivalent	True
cushion	sharpen	False
nothing	exist	True
iffy	nifty	True
brilliant	admittedly	False
charge	pay	True
farsighted	anymore	False
rectify	fake	False
inexpert	professional	True
flop	wrongful	False
nice	uncollectible	False
efficient	ineffectual	True
nowadays	disability	False
right	loony	False
dry	wet	True
so	placid	False
lower	soh	False
point	evening	False
laughable	acceptable	False
rent	prevent	False
steam	cold	True
bloom	die	True
straightaway	over	False
keep	dead	False
bad	set	False
justly	alright	False
necessarily	perpetually	False
erstwhile	anymore	False
edit	uncut	True
filiation	ascent	False
continuously	regular	False
acceptable	hapless	False
respectable	point	False
break	whole	True
invalidate	applicable	True
gre	national level	False
clear	confuse	True
even	minus	False
elucidate	ambiguous	True
predictably	unexpectedly	True
cruddy	good	False
sole	firstly	False
choose	refuse	True
goodness	well	False
ofttimes	rarely	True
unnecessary	earmark	False
aright	rude	False
gonna	fountainhead	False
indistinct	distinct	True
absence	presence	True
belief	fact	True
fence	canadian forces	False
circumscribe	more	False
unvoiced	tough	True
nice	thoroughly	False
touch	hear	True
conformist	nonconformist	True
king	queen	True
good	gaga	True
soon	withal	False
right	damage	False
replace	relief	False
heat	chill	True
bow	pluck	True
respect	disgust	True
floor	roof	True
hanker	marginally	False
untrue	ripe	False
join	quit	True
perfect	wrong	True
immediately	foresighted	False
watch	tell	True
boss	employee	True
admissible	inadmissible	True
unspoiled	painful	False
difficult	simple	True
rest	awake	True
nonfat	fatty	True
forge	off	False
levelheaded	silence	False
top	low	True
terrible	aright	False
formation	available information	False
okay	skillful	False
nah	unity	False
unholy	right	False
finis	far	False
slim	wanton	False
insane	beneficial	False
zero	peerless	False
bisexual	homosexual	True
walk	stop	True
cold	friendly	True
fountainhead	easy	False
health	sickness	True
little	equally	False
most	simply	True
son	sister	True
mild	irritate	True
church	temple	True
joint	separate	True
unimaginable	feasible	True
more	pass	False
decode	encode	True
sober	okay	False
awry	adequately	False
match	different	True
